,Nickname,Visit,Title,Review,Traveler_type,Families
557,Nafus1,17-Jul,"Burgers, Burgers and Burgers with extras","We stopped for an early lunch and beat the crowd on a Saturday. The burgers were delicious, crispy fries were the perfect side. The staff was friendly and accommodating. The menu has so many burger choices - including veggie, turkey and tuna. We opted for...More",Solo,
558,ShuckersUk,17-Jul,Not all that hot,"It was a crowded Friday night about 6:45 PM, so I sat at the bar and ordered a draft beer while I waited about 20 minutes for a table. I ordered avocado hummus. It had crunchy green peas and perhaps corn kernels, and came with...More",Solo,
559,dazizian,17-Jul,#nom,The burgers here are really tasty and the atmosphere  is great. They rush you though a little to get you in and out as quick as possible and the staff are a little rude but definitely worth a visit for the burgers . But don't...More,Families,
560,Laesning,17-Jul,Everything was great,"Turkey, Veggie, Chicken and other burgers are available.  Lots of room in this place as opposed to most NYC restaurants. 

The restaurant is a regular pick of the theater crowd since they are very good at getting your food to you so you won't miss...More",Friends,
561,Donna S,17-Jul,Omg<U+0001F44C>,Went tonight on the way back from Central Park ordered 2 5 napkin burgers. Service was good however the burger was at best average. I would also comment that if you don't like loud noisy eateries stay clear.,Solo,
562,KNic0le,17-Jul,Great food and service,"Great atmosphere, friendly and quick service, cool building and lovely food. Cocktails perhaps a little on the weak side but everything else was spot on! The lamb burger, buffalo chicken burger, blue cheese burger and bacon burger were lush and the cheesecake was awesome.",Friends,
563,Shayofaz,16-Oct,Good burger super friendly for celiac and gluten intolerance,"This restaurant has a great combination of excellent food, attentive staff, and creative decor.  We were squeezed into a table to start was didn't think we'd enjoy our meal, but we absolutely did.  Very enjoyable 'original' and avocado ranch burgers, great selection of beers, Dr...More",Families,
564,BathSilvercar,17-Apr,The Best in towm,"We consider ourselves ""foodies"" and my husband says this is the best burger ""joint"" he has ever been in.  Everything was delicious and filling.  After 5 days eating out in NYC this was #2 after Serafina.  I had a wonderful kale and ahi salad. We...More",Business,
565,rallen1820,17-Jul,Best burger I've ever had,The service was fast and everyone was very attentive. The food was great. I had a spicy blue burger and shared an order of fries with my friend. The bill for 2 was less than $40. I'd go back again definitely.,Families,
566,ghfan,17-Jul,Fantastic Burgers,"Visited few restaurants of 5 napkin and loved it again and again. Two of my kids have celiac and they miss a good burger with a goid bun.
After seeing their smiles when eating this burger and fries, we just had to come back again...More",Business,
567,DundasJohn,17-Jun,"MMMMMmmmmmmm, great burger","I don't eat Burgers as a rule - only because they usually make me ill - however whenever we head to NYC its a must visit. This place does Burgers and they are amazing, great choice , well priced , fantastic service... you would be...More",Families,
568,TravelingArtist479,17-Jun,Great food!,"My daughter and I went for dinner before darting town.  She got just a regular burger and I got the 5 napkin burger. After our first bite, we both looked at each other and said this is the best burger I've ever had.  The Marriott...More",Business,
569,CountVanCount,17-Jan,Great burger and location,"Unbelievably tasty burgers here! We were so happy with the meal. The fries are also really good. We both had the original burger, which was pretty close to the best burger we've ever had. The gooey cheese and the carmelized onions are a perfect topping...More",Solo,
570,Sonny_Life,17-Jul,The waiter liked me more than I liked the burger!,"We stopped in while looking around for a place to eat, and we are glad we did. The service was great. Vanessa H was our server. 
We had a glass of wine that came quickly. I ordered the 5 napkin burger and although  the Mrs....More",Business,
571,Brew C,17-Jul,Excellent ,The burgers are out of this world! So good. Oh the fries too of course. Great atomosphere and staff. Try to go around 5pm. It isn't crowded at all and you'll be out of there before the big dinner rush,Solo,
572,Michael A,17-Jul,Magnifico!!!,"Love the old slaughterhouse / meat packing vibe. Great touch for a burger joint. Gets quite crowded in the evening. Burgers, sides and service are excellent. I'll be back.",Couples,
573,atzav,17-Jul,Burgers and more,"Escorted to a table by a male waiter. He was friendly, however he continued to ensure he touched me at every opportunity.

Chicken wings starter.... a touch on the shoulder when he delivered and when the empty plate was taken away.

Napkins burger main with...More",Couples,
574,Cathie1950,17-Jun,Yummy Burgers and Terrific Service!,"Went late at night after sightseeing all day. Place was busy, we got seated right away. Lots to choose from. Everything we ordered, everyone enjoyed. The service was also very good.",Business,
575,GatorBridget,17-Jun,good place when you've been traveling all day,"5 Napkin has taken the concept of a ""burger joint"" and elevated it to a new height. We had lunch here before a matinee. There were only three other tables occupied when we arrived for our reservation at noon, but 20 minutes later the place...More",Couples,
576,sergiojosee,17-Jul,Best burger without lines,"Location close to Hotels on or around Times Square. Friendly and prompt service. Food delicious, the burgers also come as a salad, if you are on a diet. Patio seating available. Reasonable pricing (for New York). Strongly recommend!",Families,
577,Sunday_Driver007,17-Jun,Outstanding!!,"The hamburgers here are delicious! They are also huge and messy, as the name of the restaurant implies. We went before going to the theater and were concerned because it was 7:00 when we arrived. Our waitress rushed the order and in five minutes we...More",Friends,
578,jwl92,17-Jun,Quality burgers,we made a reservation using open table and had no problem being seated. we arrived after traveling all day by plane and train into new york city. we had hungry adults and teenagers! My sons got milkshakes which they enjoyed very much. they put these...More,Solo,
579,Z226AGdanieln,17-Jun,Awesome burgers,"For me this is the place to go if you want to eat a real good burger. The restaurant is clean, comfortable and people was kind and helpful. I was with ten people and all burgers were fantastic. Great restaurant.",Couples,
580,JNWSuisse,17-Jun,Great burgers,"Came for lunch, seated immediately.  Considered getting an app, but saw the size of the burgers and opted for burger alone.  Hands down the best burger we have ever had.  The toppings, the quality, cooked perfectly.  Cool atmosphere, great service, cannot recommend enough!",Friends,
581,wvugirl2005,17-Jun,Great food!,"Stopped here for lunch and was really impressed by the professionalism of our server.  Even though this is a burger place, the vibe is a little fancier (but not snobby).  Our burgers were prepared as ordered and tasted good, I just wish they'd had a...More",Families,
582,KeijoGee,17-Jun,Awesome burger,Some of the best burgers we had. Must have the receipe to the chilli pickled cucumbers. Arrived at 18 and started to get crowded...,Business,
583,Yuval W,17-Jun,What a suprise it was the best,"If you want a burger in NY then this is a good place to start. Fast service, crowded and noisy with blasting air con but the burger meat was great so were the french fries. Double sushi tuna roll was good too.",Business,
584,allthewrightstuff,17-Jun,Best. Burgers. Period.,"We ventured into Hell's Kitchen and found this place.  They are what I would call an upscale burger place.  I ordered a basic plain burger.  It was what I would expect from a homemade burger.  It was big, juicy and delicious!",Business,
585,virginias91,17-Jun,"Fabulous food, great service","there are at least enough customers at most times but still worth to visit. Friendly service and awesome burgers! The burgers are juicy and tasty, don´t forget put your napkin in your lap! The restaurant is atmospheric & casual: Just what I like.

There is...More",Friends,
586,hlbIN,17-Jun,All good!,"Walking on 9th avenue surching for a place too eat.
We enter and what a great place, designe, music, service and the food,
Yes all of it the burger the salat the franch fries",Couples,
587,NurseMP,17-Jun,Amazing burgers & spiked milkshakes!,"We ate at 5 Napkin Burger twice this week!  We brought friends back the second time because we loved the lively atmosphere and awesome burgers. I recommend the Tex-mex salad with a burger as the protein, and the bacon cheeseburger. Oh, and the sweet potatoe...More",Friends,
588,Bernardo F,17-Jun,Nice burger place,"During my trip to NYC, we ate here twice because it was that good!! The first time, I had a Greens and Grains salad with a veggie burger. I really wanted something to make me feel fresh and not so heavy--this did the trick and...More",Business,
589,jamiemac1959,17-Jun,A-1,"Burger was as good as I was hoping for.  There are several variations available, but I had the signature 5 Napkin burger.  The fries are also worthy of the restaurant.  As long as there is no line to get in, this is a good place...More",Families,
590,JCStover,17-Jun,Milkshake to Go,"These are THE BEST burgers! They truly require 5 Napkins to eat. The spiked milkshakes are delicious too! Perhaps they go down a little too easy!! ;)

We made reservations, which I strongly recommend, as the place is packed! We were seated right away and...More",Business,
591,426NicoleB426,17-Jun,Delicious dinner ,"It's a nice burger place.  The burgers are really good, but just a tad on the pricey side. Service is good and it's clean and bright.  It was just a tad noisy, but it was right at prime lunch hour time.",Solo,
592,Hollie C,17-Jun,The best burger I've ever eaten?!,"Our very first meal in NYC. I had the original 5 Napkin burger, med rare....it was awesome! My wife had the greens and grains salad which was outstanding. 
Ambiance was cool....like being in an old butcher shop from the '40s. 
Great way to kick off...More",Couples,
593,fizzy1991,17-Jun,30 wait for table and 40 minutes for food!,"My husband hated his milkshake.  It was small for the price, mostly whipped cream, and not what he was hoping for.",Solo,
594,421judic,17-Jun,Burger experience,"Ate here on a Friday night late the burgers were absolutely amazing tasting, cooked just right. The fries were also good and each side is for sharing so it feeds 2 maybe 3 if smaller eaters. The best burger I have had in New York!...More",Couples,
595,RVMarkVIII,17-Jun,Perfect,"Probably. We came here after watching a recording of The Late Show, arrived before our reservation but it wasn't a problem, got seated within 10 minutes. The restaurant interior is great - proper cool looking American diner with booths, leather seats, white filing and dimmed...More",Families,
596,Robbo R,17-Jun,American burgers American atmosphere.,This was so frustrating !  I understand the 30 minute wait because we didn't have a reservation but when our food took 40 minutes to get to the table I was about to get up and leave.  Expensive burger too.  $40 for two burgers and...More,Business,
597,JJONES32,17-May,"Food is great, service is lacking","It was a large and lively location. Service was very good. The burgers were very good and had unique dressings. They were not cooked as well as we ordered, more like medium but heard that they refused to cook them any further from a review...More",Families,
598,F7216DImichaelg,17-May,Surprisingly.....,Passing by and saw this place had a good write up.  It did not disappoint.  The burger was perfectly cooked to order.  Meat tasted fresh and great. My waitress service was perfect as well.  Greeting by manager perfect. Pricing perfect.,Friends,
599,837clintw,17-May,Live's up to the name.,"Ate here with my family - booked using their app and was not dissapointed. Buzzing atmosphere , friendly staff and huge burgers that we all struggled to finish. Could not fault this in anyway and a great place to eat for a taste of NY....More",Solo,
600,Greg W,17-May,"Fantastic Gluten-Free Choice, Best Burgers in NYC","Booked this for a quick bite the evening we arrived in Manhattan.  A bit shabbier looking in real life than on the website.  The food was delicious, good quality, not a long wait time, and for Manhattan prices, good value for money.  That would be...More",Families,
601,Travell_ing_Matters,17-May,Good dinner place in the Timesquare area,"Awful!!!!Food was great as usual, however the service was awful, which was unusual! Long wait for drinks and then the order was wrong! Had to get to find assistance, All the while The manager seemed to be having a great time sitting at the bar...oh...More",Families,
602,Michcella T,16-Nov,Indulgent and Delicious,"As a burger person, I wanted to see if 5 Napkin Burger lived up to its name.  Well, yes, it did.  Thankfully the napkins they give you are cloth so no need to go through a whole bunch of paper napkins.  I got the ""5...More",Friends,
603,Donna C,17-May,Great Lunch & Service,"My daughter has celiac, so we have to search for gluten-free options when we travel, and this place was highly recommended. With good reason. Amazing food, best burgers anywhere and great fries, both traditional and sweet potato. Service was very good, and our server was...More",Couples,
604,flymonkey,17-May,Veggie burger? What was I Thinking?,"It is located on 9th avenue, so a little off the busier main timesquare. But it is a very busy place for dinner (around 5:30pm) when we got there and there was a wait. But we had a drink at the bar while waiting. We...More",Solo,
605,Morticia814,17-May,Delicious,"Can I just say - WOW.

I believe the burger market is saturated (and not just in fat, hehe). There are so many independent and franchised chains within a NY city block that your arteries become clogged just pondering about it. However, 5 Napkin Burger...More",Friends,
606,bobscag,17-May,GREAT BURGER IN A GREAT ATMOSPHERE,Had a salad with a burger on top.  Great taste!  The Salad was  fresh as well.  The staff was very nice as well.,Families,
607,153natalieb,17-Feb,"Delicious food, great experience","Seriously, who goes to a juicy burger place and orders a veggie burger when they're not even a vegetarian? Me. And it was a mistake. I really love a good veggie burger, and I was in the mood, but what I got was a bun...More",Couples,
608,schaefcand,17-May,A good place to eat prior to the Theatre,"Came here with my family after seeing a play in the City on a Sunday. 
Walked over about 4ish and how lucky it felt to get seated right away!!  
Started with the Korean wings.  Only negative thing I can say is I wish they gave...More",Business,
609,SuitcaseLawyer,16-Dec,Great diner style Hamburger place in Hell's Kitchen. Sometimes too crowded.,"As I usually do, I sat at the bar. And as is usually the case, the bartender knew exactly what to recommend while pouring up some tasty libations. Our bartender (whose name, unfortunately, I cannot remember - she had an unusual name which I probably...More",Solo,
610,Georgie P,17-May,Best burger yet!! ,"We tried to eat at this place twice, but the first night there was an expected 40minute wait for a table and we were too hungry to wait. We returned another night, and weren't disappointed. 

Bit of a hiccup getting service started after we were...More",Friends,
611,Maygon,17-May,Good food AMAZING employees. ,5 napkin was suggested to us as a good place to go prior to the theatre and we were not disappointed. Our server Robert G walked us thru the menu when it became apparent we were first timers. Great and in some respects unusual combinations...More,Couples,
612,cliff710,17-Apr,Best meal we had l in NYC,"I actually like this chain a lot. It's a burger place, but it is laid out as a diner. It offers great appetizers, surprisingly good sushi, and much more than hamburgers. Great drinks and desserts too.

This location is quite busy. At times a lot...More",Solo,
613,hart277,17-May,Good food and seevice,Went to 5N this evening with my family and it completely lived up to the American burger dream!! Service was amazing (cheers Greg!) the server couldn't do more for you! The burger it self just melts In your mouth! We had the sweet potato fries...More,Friends,
614,Bender3,17-Apr,Delicious meal before our dhow,"We ate here over the weekend and yes the food was very good (poke nachos are AMAZING) but let me talk about the staff. First, our food was running behind and our waiter just saw my face,and without saying a word,  brought us a free...More",Couples,
615,Paolos,17-Apr,Authentic huge and tasty burger,"My wife and I went here after seeing a play, it was pouring rain and we really just needed to get dry. Turned out to be the best meal we had in Four days in NYC. We shared a huge salad with a piece of...More",Couples,
616,Ririko K,16-Sep,"""Fantastic Burger""","Great spot with outdoor seating and the food is good, don't know if it's any better than some of the burger spots out there, but for NYC pricing the burgers are good. Lots of different options for burger types and beer, wines, and cocktails. I...More",Solo,
617,Julia1138,17-Apr,Fantastic!,"We ate here one night before going to a Broadway show. Love the ambience of this place---subway tiles, cool scales hanging in the walls, booths with kraft paper cloths. The meal was excellent---yummy burgers, fries, etc. It is loud--don't expect quiet conversation. Still enjoyed it!",Families,
618,JoJosOpinion,17-Apr,Burgers Fries Beer and excellent service,"At 5 Napkin you will have one do the best burger in Manhattan. Truly authentic, well cooked, juicy meat, good variety of choices  and tasty...and huge! I had the excellent 5 Napkin burger with all i oli, caramelized onion and melted cheese.",Couples,
619,ThunderButch25,17-Apr,Great ,"I really recommend 5 Napkin Burger!!!
I went to the restaurant with my friend when we traveled to NY last September. The food was absolutely good. Because,the patty was juicy and the vegetables were fresh. The burger was big and amazing. The menu wasn't large,...More",Families,
620,RLHA17,17-Apr,Best burger we've eaten!,5 Napkin Burger has the best food and best wait staff in NYC!  I was impressed with how attentive the staff was to every request.  Our meals were cooked perfectly and the burgers were great!,Business,
621,789irenas,17-Apr,Good to try,I loved it!  Felt like a burger before getting on a bus back to PA after 4 days in NYC.  Website said they didn't open til 11:30 but it was raining so I walked to restaurant and arrived at 11:15.  Hostess said come in but...More,Friends,
622,201chellej,17-Apr,We ate everything they put on our table,"Amazing American Burger; good waiting service.
If you would like an perfect american meal, you have to go there.",Friends,
623,travlin0207,17-Apr,"Good Burgers, Great Service","We visited this restaurant based in reviews, and were not disappointed! We shared a huge stack of onion rings to start, and then each had a huge burger which was delicious. Staff were efficient and friendly and the prices were very reasonable for New York.",Solo,
624,michael s,17-Mar,Not up to the hype,Very nice place in the town centre. We had there meeting with a friend. We were eating just right at the bar. The waiter was very friendly. The burgers were good and big enough (for a girl). Beer was also ok. The only minus is...More,Solo,
625,michaeljay2016,17-Apr,Great 1st Day in NYC,"Good Food!!!  We ordered burgers, we ordered the onion tower, we ordered fries, we ordered a massive sundae.....ALL GONE!  We will never forget the flavors and the experience. It's dark in there, loud and the wait wasn't long. The staff was just great too!!!",Families,
626,diBiella51,17-Apr,Neighborhood (ours) best burgers,Stopped in for an early lunch. Staff was very friendly and helpful with the order. Fries and onion rings were good. Everyone got a burger. They were all cooked perfectly. My avocado ranch burger was very flavorful. The truffle burger was also good. The Cranberry...More,Business,
627,grahamo688,17-Apr,Amazing burgers,"Hard this was the best burger in NYC. Not even close. Decent not great, OK fries. small pours from the bar. You could miss this one.",Friends,
628,stefanl656,17-Apr,Great theater restaurant for the family,This was the first stop after checking in to our hotel room. Saw good reviews! I had the spicy burger (can't remember the name!) with fresh jalapenos. Drank the Coney Island Mermaid Pilsner and the Bronx Pale Ale. Perfect lunch! Great waitress! Bartender was a...More,Couples,
629,Greeklightning,17-Apr,Great burgers in NYC,"We've eaten here before but our most recent visit confirmed our past impressions. Great burgers, professional service and pleasant and busy environment. We stopped in for burgers and beers just before the dinner theatre reservations (4:30-5:30) arrived. All staff cheerful. By the time we left...More",Friends,
630,Elliotts18-18,17-Apr,Great burger great staff excellent !!,"Great burger restaurant in Hells Kitchen. Reserved a table with open table with no problem on a busy night.

Friendl

5 Napkin burger was awesome and great cocktails.",Couples,
631,Rebecca N,17-Apr,Lunch,"Took the Grand Kids here before seeing Charlie and the Chocolate Factory. Service was fast and the burgers good (a little salty). Fries and onion rings were also very good. 
My Grand Daughters Melted Cheese (from the children menu) was not up to par. Waitress...More",Couples,
632,AntonioOller,17-Mar,"Good hamburguer, great sundae","Awesome place, staff were great, food was exceptional, great vibe to the restaurant, and suitable for everyone whether casual dining or something a bit more upmarket. We'll be back to try the rest of the menu when next in NYC.",Business,
633,PJD1978888,17-Apr,Lovely start to the holidays -  Burger Heaven ,"We had a great evening at 5 napkin, the blueberry lemonade was great, service both at the bar and at the table was super.  5 napkin burger was perfectly cooked exactly to our order, and absolutely delicious.",Solo,
634,Amanda W,17-Apr,American dining,Great atmosphere and family friendly.  There was something for everyone on the menu and of course the burgers were great.  Also how about the bowl of pickles they bring to your table while you wait...YUM!,Friends,
635,LindaCopenhagenCity,16-Dec,Amazing Burgers ,"Very tasty (and big) hamburguers with good meat. The service was good, they give complimentary pickels. Average price for the quality of the meal.",Families,
636,Karolina A,17-Mar,Very mediocre for this price,"We wanted to start our trip to NYC with a burger but not some cheap fast food burger.

We came across this place walking down from our hotel and looking at the me we went straight in. 

There is enough choice of some great burgers...More",Couples,
637,881franciscaa,17-Mar,Good vibe,"Happened to find this restaurant on our way to another but chose this instead as the veggie burger option was better. It was busy, which we took to be a good sign and the food didn't disappoint. Large burgers, attentive staff refilling our water, and...More",Couples,
638,Aileen H,17-Mar,"Yum, and more yum!","Super juicy burgers and delicious dessert.

Nice vibe but expect to wait before being seated.

Will definitely come back.",Friends,
639,85jlh,17-Mar,Best burgers in NYC,"I have to say the 5 Napkin Burgers, and we tried 3 different ones, turned out to be of very mediocre taste. There is pleanty of other and better burger options in town especially in this price range -a burger costs 14 bucks, fries or...More",Couples,
640,petertc66,17-Mar,Amazing Quality Burgers ,"Modern place with nice deco, friendly staff and a good burger as well as really good drinks, what more could you ask for?",Couples,
641,RebeccaA11368,17-Mar,Burger lives up to its name!!!,"Bacon and cheese burger.... cooked perfectly, well seasoned, great service, yummy fries.... a fab meal all round!",Couples,
642,jeremyr145,17-Mar,Avoid at all costs!,"If there was ever a place to go and eat it is 5 napkin burger. By far the best burger I have had ever! the staff were great, really friendly and the atmosphere was good.",Friends,
643,awineguy11,17-Mar,Great find without the shake shack line,We visited here twice great friendly staff taken straight to nice table this is NYC so $14 is reasonable for such high quality meat and great service the four us all agreed was one of the best burgers ever so we went back next day,Business,
644,C3410EZjohnf,17-Mar,Best burger in my life!,"Had the 5napkin special burger and it was perfection!! Juicy and messy just like a good burger should be. Fries are hand-cut, moist and crispy outside. My niece had the Smores shake and said it was devine, right down to the huge toasted marshmallows on...More",Couples,
645,Janelle T,17-Mar,Service is 2nd to none!,"I kept hearing about this amazing burger place in NYC so I decided to check it out.  I couldn't have been more disappointed.  Upon arrival, the two hostesses were in deep conversation with each other and had to wait for them to finish before they...More",Families,
646,Amy V,17-Mar,Good but not over the top,"Local New Yorker pointed us here when the Shake Shack line was too long. Great burgers, amazing fries and no wait. Funky industrial decor. The greens and grain salad with the turkey burger was delicious.",Couples,
647,Katet23101,17-Jan,Best burger I have ever had!! (Gluten Free!),"My son and I stopped in for dinner at 5 Napkin Burger and had, literally, the best burgers we have ever had.  The meat is fantastic (medium rare was perfect) and the beer is ice cold.  The service was also fantastic!",Families,
648,aescobales,17-Mar,BEST BURGER,"Went to 5 Napkin Burger on the recommendation of a friend.  it did not disappoint.  We were in the city for Hamilton and had dinner reservations for 5pm.  We ran the gamut on our dinner choices; from the avocado hummus, split pea soup, beer, burger...More",Families,
649,Daynamaste,17-Mar,Great for a huge variety of food!,We were looking for a great burger place in NYC. It was good but not over the top. The pickles they serve you are an acquired taste. Burgers cooked to order and are big. Service was subpar our waiter kept forgetting about us. Long wait...More,Friends,
650,294RobS,16-Aug,Perfect spot after seeing a show,"The waitress was spot on when she said ""Day Made!"" This was literally the best burger I have ever had and on top of that it was gluten free (with a gluten free bun), just so juicy and my meat was cooked to perfection! I...More",Families,
651,AshleyW568,17-Mar,WOW!,I had the guacamole ranch burger with pepper jack cheese and it was legitimately the best burger I've ever had. The sweet potato fries were incredible but I suggest sharing them with another person because they're a lot. This restaurant has a rustic aesthetic and...More,Families,
652,mwar1,17-Feb,"Good Service, Good Food!",Great service! Every time I go here I get the hamburger salad. It is huge. This is a good mid-priced diner with a large selection.,Couples,
653,silviiip,17-Feb,Lunch time,"Had a burger and a ton of beer after seeing Hamilton. Great spot for after show burgers. Tons of good food for fair price; solid cocktail list, good beer selection and fast service.",Couples,
654,Loppylooper001,17-Feb,Great atmosphere,Yes! I recommend this place! One of the best burgers I've ever eaten! We were in New York for a week and it was so good we went back a second time! Amazing food! Must go!,Families,
655,Jan P,17-Feb,Need 6 Napkins!,"Stopped here on my way through the city on a whim. Glad I did. Went during the lunch hour rush but didn't have to wait long for a table, about ten minutes. Server was on it right away, orders taken, food delivered fast and prepared...More",Couples,
656,bmatharu001,17-Feb,5 napkin 14th feb 2017,"Very good service , pretty nice place and very very good Hamburgers!
Good menù and good prices!
I recommend you!",Solo,
657,Ruben B,17-Feb,Business Dinner & Drinks,"The place was so busy, which is always a good sign. They found us a table for 2 really quickly. Shannon our server was very attentive, and served us some amazing avocado hummus and great burgers. Would recommend this place anytime.",Solo,
658,DJMCA,17-Feb,Awesome burger restaurant,"This is my second time eating at this restaurant because my first experience was so positive.  This time around I came with a group of six girlfriends and we were all starving after a day touring around NYC.  Because the burgers were 10oz, we shared...More",Solo,
659,Phillytomster,17-Feb,Seriously good service. ,"great burger, beers and service. was on my own on a work trip on valentines day 2017 and did not feel out of place",Couples,
660,Rochelle L,17-Feb,Our Favorite restaurant in New York,"Love this place! Casual dinning, great burgers just as you want them & great service. Came here last time we were in NY and had a great time. Was looking forward to seeing if it would happen again and it did. Have your burger on...More",Couples,
661,ns246,17-Feb,Great Food,"An amazing place to get some burgers, drink a beer and have a great time with friends. They have a lot of great (local) beers, which you should really try. 

The staff is friendly and very helpful!",Families,
662,suzijohn,17-Feb,Best burgers!,First the burgers at this place are spectacular. Seasoned and cooked to perfection. The service however made it just that much better. A ketchup bottle sort of exploded ketchup everywhere. The manager ran over wanted to pay for dry cleaning or give us dessert. It...More,Business,
663,Laura S,17-Feb,Disappointing!,"We stumbled upon 5 Napkin Burger whilst out wandering New York seeing the sights. 

We did a quick check on TripAdvisor but were pretty confident that the food was good as the place was relatively busy. This was about 4PM.

We struck gold here.

We...More",Friends,
664,WideEyedLover,17-Jan,Popular place with a great atmosphere ,The food and service here was great. Couldn't really fault it. I would recommend to anyone and would return here in the future.,Friends,
665,maxton76,17-Jan,Quick lunch,"Great selection of delicious burgers. Now I know why restaurant is named 5 napkin! Delicious, juicy burgers on a tasty bun. Good cocktail menu also. Will return",Friends,
666,Thestudlibancritic,17-Jan,GREASE LIGHTNING,"Went here last night and it was heaving. Husband and I both had burgers (separate types) and were hugely disappointed at how greasy they were!! Made us feel ill. 

Service was amazing and were seated very quickly with food coming out quickly too. Service couldn't...More",Friends,
667,stianhau,17-Jan,Super burger,"Was recommended to eat here and did so twice on our recent trip. 
Service was quick and the food was hot and tasty. I had the veggie burger and my husband the traditional burger. Both meals were excellent. The sweet potato fries was gorgeous. 
Waitress...More",Families,
668,TomS1833,16-May,The Best Burger in NYC,"I had the Spicy Blue burger with Sweet Potato Fries.

The fries were as expected, tasted like sweet potato fries, as always a bit more soft and moist compared to regular fries.

The Spicy Blue had I liked, I am not a huge fan of...More",Families,
669,Mayabee999,16-Apr,Not nice,"now I love a good burger, but not one that is soaked and dripping in grease. 

This place I had heard good things about, and I was heavily dissapointed.

The burger was like it was dipped in a tub of grease, so much grease I've...More",Solo,
670,Moments4Life,16-Oct,Great salad (I know... boo!),"What a burger experience! The burgers are absolutely upper class. We came back twice during our NYC-week. Cool place and friendly staff. Background music was a little intense, but you'll manage. We did not make reservations, and got a table even on a crowdy Saturday...More",Business,
671,carawasthere,17-Jan,Nice Spot for Dinner/Drinks,"My saying that this is the best burger in New York City always sparks a lengthy and impassioned debate, but I always stand by this declaration as is really is the BEST burger in the city. First of all, their burger choices are very eclectic...More",Couples,
672,JLWPennington_NJUSA,17-Jan,"Relaxing, Inviting Place to Enjoy a Burger","After reading some of the reviews and that this restaurant was very near our hotel we decided to try, it took ages to be served and it was so not worth the wait, one of the worse burgers I/we have had ~ maybe it was...More",Families,
673,capamerica1,16-Dec,Great burgers and shakes!,"I realize I probably have no authority to rate a burger joint when I had a salad, but I guess that's the point- I found a pretty extensive menu for a ""burger joint"" and everything looked really good.  Our table of 6 did order 5...More",Families,
674,mkbyers1,17-Jan,Great burgers,Stopped in for drinks and ended up staying a while when a table freed up. Unique drinks and good food.,Solo,
675,tassosm903,17-Jan,"Excellent burgers,nice ambiance!","Fairly large restaurant with most tables full, but we did not have to wait.
Nice bar running the length of the back of the restaurant. Service very prompt and friendly. Burgers were great and one person at our table got a breakfast platter of eggs,...More",Solo,
676,Anne-Christine,16-Dec,Busy place with good burgers,"Shake shack had a ridiculous line so we mapped ""burgers"" and found 5 Napkins around the corner. It was great. Large burgers (half pound?) and best Peppermint shake anywhere. And the decor with Christmas lights was festive. Highly recommend.",Families,
677,Jeff W,16-Dec,great burger,Great burgers with attentive service. Attended this restaurant two times throughout our stay. Recommended getting there early due to queues-although we witnessed queues to be managed well and efficiently.,Friends,
678,Georgette H,16-Jun,Excellent food and service,We were looking for a nice not very expensive burger restaurant! We found the right place. For starters the lady who welcomed us was smiling and gave us without waiting a table. Our server Robert (who by the way was fantastic) took good care of...More,Solo,
679,NayiaCh,16-Jun,Great Burger Joint,"On our short trip to New York, we had dinner at 5 Napkins on 9th avenue.  Good and efficient service. The place is very busy so you may need to book if you don't want to wait. Large choice of burgers in a very friendly...More",Families,
680,Suddabmp01,17-Jan,Amazing burgers!! ,"Wasn't impressed with the avocado salad, but it is a burger joint. When in Rome...order a burger and you won't be disappointed. I had the Merguez and it was everything I thought it could be. I was sad after the last bite. I can't remember...More",Families,
681,kippersharp,17-Jan,Last NY Burger,The blue Cheese burger was fantastic.  I had brussel sprouts that were cooked perfectly. We were a large party but our waiter handled our many requests efficiently and courteously.,Couples,
682,ChadS303,16-Dec,Great Burgers near Times Square,"I visited this place twice. One in December 2012 and the second in June 2016. The service, the food and the ambience have remained at the same high standards. Love the blue cheese burger and the garlic butter broccoli on the side. The decoration is...More",Solo,
683,Bluewoman1974,17-Jan,Wow! ,We were advised to visit here as the best burgers in midtown. Our tour guide said it's called 5 napkins and we would need 5 napkins. He wasn't wrong. The juices are truly flowing in this place. I was in burger heaven - bacon and...More,Friends,
684,johnnyramsden,17-Jan,Amazing burgers,"We opted as a burger for our last meal before travelling home.
Thank you Shake Shak for being a heaving mass of tourists taking pictures. 
So we headed another block to 5 Naps'.
Awesome burgers, wings and fries. We thought they were the best we...More",Friends,
685,461agah,16-Aug,Very delicious,Recommended by a local and worth a stop.  Avoided crowds week before Christmas by dropping in late.  Great burgers cooked as requested and fries not to be missed.,Couples,
686,Lovetotravel300,16-Dec,Good food ,"This place has amazing food and great service ! Highly recommended ! Prices are good and definitely worth every bite!
Uniqueness at its finest",Families,
687,jimhL5405KT,16-Oct,¡Prices Raised!,"We were told about 5 napkin burger by a guy at our hotel and he said it wasn't to be missed. He was right! It was exceptionally busy (always a good sign) yet we were dealt with quickly. Friendly, helpful staff, delicious shakes, and fantastic...More",Business,
688,P7836MAnancys,16-Dec,Family time on the City,"Great burger, great fries, great beer, great service, great price

The meat was on point, the caramelised onions fantastic. Would come again. Great for every burger lover",Business,
