Nickname,Review,Liked
TeebzR,WAAAAAAyyyyyyyyyy over rated is all I am saying.,0
oaggimenez,We won't be going back.,0
CoodignD,The place was fairly clean but the food simply wasn't worth it.,0
ParmarShantun,This place lacked style!!,0
lexcomber,"The sangria was about half of a glass wine full and was $12, ridiculous.",0
AugustusPendle1,Don't bother coming here.,0
HilaryMatfess,"The meat was pretty dry, I had the sliced brisket and pulled pork.",0
MilesMcBain,"The building itself seems pretty neat, the bathroom is pretty trippy, but I wouldn't eat here again.",0
MarioNiepel,It was equally awful.,0
ArzyaPrinciple,Probably not in a hurry to go back.,0
PoliSciJack,very slow at seating even with reservation.,0
andybaxter,Not good by any stretch of the imagination.,0
FederigoRuiz,The cashew cream sauce was bland and the vegetables were undercooked.,0
darokun,"The chipolte ranch dipping sause was tasteless, seemed thin and watered down with no heat.",0
AnalyticaMachka,"It was a bit too sweet, not really spicy enough, and lacked flavor.",0
KiraHoeffler,I was VERY disappointed!!,0
USGS_R,This place is horrible and way overpriced.,0
BenParker140,"Maybe it's just their Vegetarian fare, but I've been twice and I thought it was average at best.",0
sprachspinat,It wasn't busy at all and now we know why.,0
Mon_Bennett8,The tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu.,0
SoniaBoender,"The ambiance here did not feel like a buffet setting, but more of a douchey indoor garden for tea and biscuits.",0
satish9sati,Con: spotty service.,0
cararthompson,"The fries were not hot, and neither was my burger.",0
datawookie,But then they came back cold.,0
TheBoringMusk,"Then our food came out, disappointment ensued.",0
data_crafter,The real disappointment was our waiter.,0
LiTar1991,My husband said she was very rude... did not even apologize for the bad food or anything.,0
CREEM_cake,The only reason to eat here would be to fill up before a night of binge drinking just to get some carbs in your stomach.,0
levene_bartlett,"Insults, profound deuchebaggery, and had to go outside for a smoke break while serving just to solidify it.",0
Denicejean8,If someone orders two tacos don't' you think it may be part of customer service to ask if it is combo or ala cart?,0
ephorie,She was quite disappointed although some blame needs to be placed at her door.,0
emymantilla,After all the rave reviews I couldn't wait to eat here......what a disappointment!,0
AlePalmi82,Del Taco is pretty nasty and should be avoided if possible.,0
myweather_ch,It's NOT hard to make a decent hamburger.,0
RLadiesBLR,But I don't like it.,0
trxplayer,Hell no will I go back,0
SEMDocs,We've have gotten a much better service from the pizza place next door than the services we received from this restaurant.,0
1308arpitchaur1,"I don't know what the big deal is about this place, but I won't be back ""ya'all"".",0
DrLauraJBird,I immediately said I wanted to talk to the manager but I did not want to talk to the guy who was doing shots of fireball behind the bar.,0
SylviaLobo,The ambiance isn't much better.,0
benlmaoujoud_,"Unfortunately, it only set us up for disapppointment with our entrees.",0
_anirudhgovind,The food wasn't good.,0
Thoughtfulnz,"Your servers suck, wait, correction, our server Heimer sucked.",0
andinaswidya,What happened next was pretty....off putting.,0
LukefromFuture,"too bad cause I know it's family owned, I really wanted to like this place.",0
theRcast,Overpriced for what you are getting.,0
Product26025280,I vomited in the bathroom mid lunch.,0
setupel,"I kept looking at the time and it had soon become 35 minutes, yet still no food.",0
hauke_licht,"I have been to very few places to eat that under no circumstances would I ever return to, and this tops the list.",0
Amit_Levinson,We started with the tuna sashimi which was brownish in color and obviously wasn't fresh.,0
TeebzR,Food was below average.,0
oaggimenez,It sure does beat the nachos at the movies but I would expect a little bit more coming from a restaurant.,0
CoodignD,"All in all, Ha Long Bay was a bit of a flop.",0
ParmarShantun,The problem I have is that they charge $11.99 for a sandwich that is no bigger than a Subway sub (which offers better and more amount of vegetables).,0
lexcomber,Shrimp- When I unwrapped it (I live only 1/2 a mile from Brushfire) it was literally ice cold.,0
AugustusPendle1,"It lacked flavor, seemed undercooked, and dry.",0
HilaryMatfess,It really is impressive that the place hasn't closed down.,0
appdigitalclou1,I would avoid this place if you are staying in the Mirage.,0
AbelTorresEspi2,The refried beans that came with my meal were dried out and crusty and the food was bland.,0
moh_fodil,Spend your money and time some place else.,0
owenlhjphillips,A lady at the table next to us found a live green caterpillar In her salad.,0
obeverley,the presentation of the food was awful.,0
thepgmsolutions,I can't tell you how disappointed I was.,0
nikos_kyritsis,I think food should have flavor and texture and both were lacking.,0
DominicComtois,Appetite instantly gone.,0
ikashnitsky,Overall I was not impressed and would not go back.,0
StatsGary,"The whole experience was underwhelming, and I think we'll just go to Ninja Sushi next time.",0
vicbiostat,"Then, as if I hadn't wasted enough of my life there, they poured salt in the wound by drawing out the time it took to bring the check.",0
